,price,volume,rsi,macd,adx,obv,target
1999-12-07,8.94960300588164,11989100.0,35.6447214617714,-0.1367264071334393,0.0,-41123000.0,1
1999-12-08,8.88462403962838,8539500.0,34.43466316921386,-0.16254409470299258,0.0,-49662500.0,1
1999-12-09,8.79465316327772,14603700.0,32.77555406986562,-0.1880964372689018,16.934133223052388,-64266200.0,1
1999-12-10,8.71717824197575,7879300.0,31.373743519307467,-0.21215286534013877,18.084712521073907,-72145500.0,1
1999-12-13,8.47975509605038,10005800.0,27.49305427906978,-0.24752253583626427,19.934133975340213,-82151300.0,1
1999-12-14,8.32480525344646,12154800.0,25.29410780799421,-0.28477371770520854,21.855522929916642,-94306100.0,1
1999-12-15,8.79465316327772,13586400.0,40.76515659892388,-0.2732330871293218,22.538351301086713,-80719700.0,1
1999-12-16,9.87180448847598,20261900.0,60.80516330588823,-0.17515091373206282,22.546282759748898,-60457800.0,0
1999-12-17,9.30948651128431,51505800.0,51.08818894865007,-0.1411671588095338,22.5536476856495,-111963600.0,1
1999-12-20,9.35947033147913,14983900.0,51.82514764941136,-0.10894565395372702,22.474995639076344,-96979700.0,1
1999-12-21,9.41945091571291,12308000.0,52.74525969681566,-0.07767456332777734,22.522167102130744,-84671700.0,1
1999-12-22,9.37196628652783,10555000.0,51.900144455488714,-0.056077188517908994,22.313662240935958,-95226700.0,1
1999-12-23,9.26200188209924,11832600.0,49.905945228053476,-0.04728920133048575,21.918721660379898,-107059300.0,1
1999-12-27,9.29449136522587,9950600.0,50.510985306221414,-0.03727336426664252,21.451595159503736,-97108700.0,1
1999-12-28,9.26200188209924,6123500.0,49.86241663893393,-0.0315931844316637,21.176755896191583,-103232200.0,1
1999-12-29,9.09205689343687,6532300.0,46.49912052032378,-0.040339729987788786,20.362077846450433,-109764500.0,1
1999-12-30,9.16953181473883,5523900.0,48.21403061802468,-0.04055238899499258,19.605591085976506,-104240600.0,1
1999-12-31,9.07456255636868,3136500.0,46.25671089955494,-0.0478327619447505,18.66995386380665,-107377100.0,1
2000-01-03,8.74716853409264,10635000.0,40.198182694836696,-0.07910855720724008,18.01453614121859,-118012100.0,1
2000-01-04,8.49724943311857,10734600.0,36.29066706374905,-0.12264742984435983,18.08431361514172,-128746700.0,1
2000-01-05,8.44976480393349,11722500.0,35.582926237098704,-0.1591493383144833,18.270736503740057,-140469200.0,1
2000-01-06,8.77965801721927,17479500.0,43.78521188291253,-0.15961776425187502,18.07985101768701,-122989700.0,1
2000-01-07,8.87212808457968,15755900.0,45.865947554583414,-0.15078922917974857,16.99894414943716,-107233800.0,0
2000-01-10,8.80964830933616,10442000.0,44.663025623273455,-0.14713803158791094,15.995244914633732,-117675800.0,0
2000-01-11,8.68468875884912,9533100.0,42.274966764816284,-0.1525689032389952,15.476930292721818,-127208900.0,0
2000-01-12,8.53131590577234,8329900.0,39.48443758448614,-0.16732005417130758,15.299196904078093,-135538800.0,0
2000-01-13,8.45366740516197,10615800.0,38.11278770397869,-0.183164624845924,15.378435160862194,-146154600.0,1
2000-01-14,8.64152668083223,11217500.0,43.24934834232303,-0.1785051909922739,15.177555250697624,-134937100.0,1
2000-01-18,8.45366740516197,11348600.0,39.700764638514805,-0.18780631533713077,15.678540740375754,-146285700.0,1
2000-01-19,8.28083687154532,16849700.0,36.71604279620643,-0.20674032922531538,16.326841446359257,-163135400.0,1
2000-01-20,8.02785304697603,15429100.0,32.82579542907031,-0.2393997012774225,17.70536949721534,-178564500.0,1
2000-01-21,7.81244107754079,18903500.0,29.918904123513443,-0.2794431874694645,19.48871457896121,-197468000.0,1
2000-01-24,7.51437102681064,20606500.0,26.431029911387725,-0.33140941930245127,21.496684296034175,-218074500.0,1
2000-01-25,7.42169378414664,22725300.0,25.438054550480032,-0.3757400143778149,23.627302195970916,-240799800.0,1
2000-01-26,7.43672252620026,14037300.0,25.92405402767389,-0.40499115059067137,25.605733103055034,-226762500.0,1
2000-01-27,7.71725904453452,16105600.0,34.50575131837452,-0.40091444216563943,25.96608467641034,-210656900.0,1
2000-01-28,7.98527161115744,13831100.0,41.480764995167696,-0.3717716944420273,25.273814740201157,-196825800.0,1
2000-01-31,8.15559735443181,11452000.0,45.45630623546592,-0.33111510409033507,24.00323308261127,-185373800.0,1
2000-02-01,8.23575064538446,8050600.0,47.27168505642215,-0.28909426389161474,22.82340725770638,-177323200.0,1
