,price,volume,rsi,macd,adx,obv
2023-05-08,344.06,3135894.0,37.6571891352198,-5.613077285500026,25.20848919838827,499493081.0
2023-05-05,348.4,4260906.0,39.57423571531546,-4.5517870710507395,23.574705327389687,502628975.0
2023-05-04,335.83,6614890.0,29.988766928757585,-3.572877930847426,21.657441225254132,498368069.0
2023-05-03,345.25,6700789.0,33.70994247437288,-0.991610221993767,19.33956518516493,504982959.0
2023-05-02,368.66,2287616.0,47.2355313279362,1.3583221659902733,17.504371068460454,511683748.0
2023-05-01,374.15,1867950.0,51.757844101481886,1.9543693642391986,17.807602654291852,513971364.0
2023-04-28,377.56,2061740.0,54.782905576694446,2.127733324706014,19.04488792373172,515839314.0
2023-04-27,371.42,2338835.0,49.88569164470943,1.9708599313425452,20.19873266272877,513777574.0
2023-04-26,363.06,2768425.0,41.93480554120105,2.3671290193572645,20.74875926147802,511438739.0
2023-04-25,369.59,2413128.0,47.387906448913064,3.6896815059599817,20.473369374003774,514207164.0
2023-04-24,377.34,1531057.0,55.31503562039566,4.659198585137062,22.0144764642877,516620292.0
2023-04-21,377.67,1841641.0,55.68333518572951,5.039793859502993,22.594911849331464,518151349.0
2023-04-20,380.26,1947863.0,58.52312817505946,5.418665735373622,22.739775900247775,519992990.0
2023-04-19,380.11,1775191.0,58.40905934231756,5.559717973515774,22.837584056935082,518045127.0
2023-04-18,377.55,1586650.0,56.51376423320032,5.674156023311525,22.966702904645636,516269936.0
2023-04-17,377.92,1613851.0,56.86151943500854,5.998341955620845,23.396608396446847,517856586.0
2023-04-14,379.38,1525633.0,58.17314042250198,6.287199753504865,23.8800743645164,519470437.0
2023-04-13,378.8,2434809.0,57.81417976769636,6.415782619116669,24.299429888724976,517944804.0
2023-04-12,369.89,1978197.0,51.92930819096391,6.545635184037678,24.952612892513322,515509995.0
2023-04-11,371.11,2161051.0,52.866983469658884,7.52336503695085,25.75602244835216,517488192.0
2023-04-10,376.25,1689674.0,56.88544379517679,8.537654921404396,26.911554565736648,519649243.0
