,price,volume,rsi,macd,adx,obv,target
1999-12-07,36.22,23200.0,23.196258549087347,-1.1398649867693251,0.0,-134700.0,1
1999-12-08,36.0,16700.0,22.089041130444528,-1.1645544090187556,0.0,-151400.0,1
1999-12-09,35.7,18700.0,20.642096134430204,-1.1945583220743643,47.500873882273666,-170100.0,1
1999-12-10,35.74,28100.0,21.381570194483245,-1.201261577920505,47.812481018971205,-142000.0,1
1999-12-13,35.7,20500.0,21.169137865389587,-1.196014709105711,47.06269270760989,-162500.0,1
1999-12-14,34.94,15300.0,17.59269238687331,-1.238900897822262,46.86222152991295,-177800.0,1
1999-12-15,35.12,20200.0,20.9970512581545,-1.2440236850181634,46.90613458213871,-157600.0,1
1999-12-16,34.64,20400.0,18.770196717191908,-1.2721509549292733,46.94691098777692,-178000.0,1
1999-12-17,35.1,22500.0,26.784035590559355,-1.2429953862849459,46.98477479301239,-155500.0,1
1999-12-20,35.12,18300.0,27.12069154103453,-1.2043920731159048,47.01993404073105,-137200.0,1
1999-12-21,34.52,18900.0,23.612885954176647,-1.2082852941587845,47.25196799630338,-156100.0,1
1999-12-22,34.42,23300.0,23.07715052018355,-1.2055431135609425,47.54394061663466,-179400.0,1
1999-12-23,34.34,28700.0,22.63471398381631,-1.1960380647898603,47.93943912465242,-208100.0,1
1999-12-27,34.32,25100.0,22.51848014852213,-1.1765564674359936,48.40844041810025,-233200.0,1
1999-12-28,34.24,28700.0,22.031132303096555,-1.1542668231566324,48.84394161915895,-261900.0,1
1999-12-29,34.34,21700.0,24.238344699248685,-1.1156721807935241,49.2658447525561,-240200.0,1
1999-12-30,34.2,25300.0,23.24617245468184,-1.0838880914116658,49.657611947853454,-265500.0,1
1999-12-31,36.6,21500.0,56.28317422406371,-0.8551810345864297,46.79835857910873,-244000.0,1
2000-01-03,35.3,17500.0,44.98756071059791,-0.7699526449417462,44.14333759384577,-261500.0,1
2000-01-04,34.08,27600.0,37.401425797873436,-0.7917258137962833,41.57858670415755,-289100.0,1
2000-01-05,34.64,19900.0,42.217951994306695,-0.7550896832544396,39.04394798028297,-269200.0,1
2000-01-06,36.08,18300.0,52.36721695482015,-0.6029093566674817,37.35780560494773,-250900.0,0
2000-01-07,36.4,20000.0,54.28870358860036,-0.4512819286387497,36.589518735306044,-230900.0,0
2000-01-10,36.26,20200.0,53.276129482073785,-0.3385107878340392,36.476173159745045,-251100.0,0
2000-01-11,35.58,14500.0,48.540406244131304,-0.3005446713877902,35.289259538020566,-265600.0,1
2000-01-12,34.9,10300.0,44.29969174098382,-0.32161914230439237,33.513196914714605,-275900.0,1
2000-01-13,35.2,12300.0,46.51956208299087,-0.31053368057462194,31.863995907359065,-263600.0,0
2000-01-14,34.02,26900.0,39.80056194281693,-0.3924406985290787,29.91606168271276,-290500.0,1
2000-01-18,34.0,27500.0,39.695909958871304,-0.4537360465158571,28.319988529403,-318000.0,1
2000-01-19,34.18,17700.0,41.19456918218819,-0.48222971178736884,27.090185791892473,-300300.0,1
2000-01-20,34.0,16300.0,40.12080131347713,-0.5134172875780152,25.4535906108574,-316600.0,1
2000-01-21,34.22,14200.0,42.10703830391666,-0.5144512311452942,24.062688284521354,-302400.0,1
2000-01-24,34.0,13200.0,40.654755733656444,-0.5269484663487773,22.549345717210546,-315600.0,1
2000-01-25,34.06,12500.0,41.24989462633526,-0.5259483119771531,21.144099047564797,-303100.0,1
2000-01-26,34.14,10600.0,42.08387404825116,-0.5127892359084782,19.864041317524855,-292500.0,1
2000-01-27,33.92,9400.0,40.386039645508895,-0.5141855240494451,18.59221623742153,-301900.0,1
2000-01-28,33.2,19700.0,35.358373865654386,-0.5668557153388178,18.19381396702745,-321600.0,1
2000-01-31,32.92,22400.0,33.606247701700966,-0.6239978228693701,18.00552320554521,-344000.0,1
2000-02-01,33.5,10500.0,40.21500679669575,-0.6153883877680144,17.83068178416885,-333500.0,1
2000-02-02,32.8,20800.0,35.6082238686396,-0.6574705866171726,18.09587284179547,-354300.0,1
2000-02-03,33.4,12000.0,41.766002850334935,-0.6350851801700159,18.126693344760003,-342300.0,1
2000-02-04,33.1,12400.0,39.720665736313386,-0.6342409422963797,17.829027040528306,-354700.0,1
2000-02-07,33.28,15400.0,41.56958063602694,-0.6119927110016903,17.79753245439532,-339300.0,1
2000-02-08,32.7,20700.0,37.57070422202922,-0.6338552909160882,18.06237568948888,-360000.0,1
2000-02-09,31.76,35200.0,32.16949366470527,-0.7187464257103713,19.460307675132327,-395200.0,1
2000-02-10,30.96,44400.0,28.42426885646995,-0.8408833954129022,21.842085605378752,-439600.0,1
2000-02-11,30.14,50500.0,25.187397027582946,-0.9924051420982138,24.217425196352774,-490100.0,1
2000-02-14,28.48,54300.0,20.17792807594627,-1.2322309534089477,27.045013463209717,-544400.0,1
2000-02-15,30.64,45800.0,37.57566226821744,-1.2337784585280787,27.84728375863859,-498600.0,1
2000-02-16,33.28,44300.0,51.49182477443002,-1.0103324473418986,26.143027018343364,-454300.0,1
2000-02-17,33.26,19500.0,51.39834332850343,-0.825349590175037,24.68517371132551,-473800.0,1
2000-02-18,33.72,20200.0,53.48979536014162,-0.6343191511961592,23.319445468595145,-453600.0,1
2000-02-22,32.4,16500.0,47.21145312202828,-0.5827218653728607,22.05126924320266,-470100.0,1
2000-02-23,32.32,12200.0,46.85252475149571,-0.5420377028004992,20.87367703390964,-482300.0,1
