,price,volume,rsi,macd,adx,obv,target
1999-12-07,4.303,6727100.0,59.56154346298557,0.21977102745757726,0.0,47535400.0,0
1999-12-08,4.4,12867200.0,61.988899739160914,0.21589691620869633,0.0,60402600.0,0
1999-12-09,5.18,41364600.0,74.9896078330139,0.27262350236745103,57.36434358617763,101767200.0,0
1999-12-10,5.335,14929000.0,76.69537761112761,0.32632526072696066,58.16616580680374,116696200.0,0
1999-12-13,5.125,8653700.0,69.75406337577421,0.3479283447895165,58.21556607805577,108042500.0,0
1999-12-14,4.7815,10107900.0,60.16247867626278,0.33348713321699464,56.87371809560393,97934600.0,0
1999-12-15,4.825,10133500.0,60.895795268477755,0.3218424559653945,54.88103707937285,108068100.0,0
1999-12-16,4.744,7004400.0,58.72796825278198,0.30258987457493447,53.030690421444,101063700.0,0
1999-12-17,4.703,5955900.0,57.61002716294524,0.28078697035648403,51.312511381938634,95107800.0,0
1999-12-20,4.85,10566600.0,60.512397770450484,0.27223156710434804,50.148451379155446,105674400.0,0
1999-12-21,4.994,9509500.0,63.17246275888185,0.27391344128453454,49.0675385194282,115183900.0,0
1999-12-22,4.8845,5921000.0,59.86971803794455,0.26337458554212123,47.816405541841995,109262900.0,0
1999-12-23,4.5,12914600.0,49.987099259376706,0.22144386283177386,45.30401738318239,96348300.0,0
1999-12-27,4.0565,16523800.0,41.48155966741097,0.15068966284125285,42.58676237789928,79824500.0,1
1999-12-28,4.1155,10304300.0,42.87413843404418,0.09824475216102968,40.063597015850675,90128800.0,1
1999-12-29,4.175,5913000.0,44.31336006532737,0.06078227510773804,37.72065775109126,96041800.0,1
1999-12-30,3.953,9256600.0,40.23982303261407,0.013029254338261076,36.158601937845084,86785200.0,1
1999-12-31,3.8065,7270700.0,37.772201141032745,-0.036219172239969843,35.05036782080094,79514500.0,1
2000-01-03,4.469,16117600.0,52.08252388661612,-0.021542364889694632,32.79405617674137,95632100.0,0
2000-01-04,4.097,17487400.0,45.72406890750498,-0.03947315839144938,30.9705319191631,78144700.0,1
2000-01-05,3.5875,38457400.0,38.74685594661507,-0.0937155389595885,29.8445783800429,39687300.0,1
2000-01-06,3.278,18752000.0,35.23002709341213,-0.1598346059122946,29.37358915927646,20935300.0,1
2000-01-07,3.478,10505400.0,39.07809115861742,-0.1938614007508841,28.93624202570762,31440700.0,1
2000-01-10,3.4595,14757900.0,38.84817704132476,-0.21978710723979722,28.178346654648887,16682800.0,1
2000-01-11,3.3375,10532700.0,37.29006658644261,-0.24732676779675433,27.539852097091075,6150100.0,1
2000-01-12,3.178,10804500.0,35.296873483135386,-0.27880853298756936,27.184937389960673,-4654400.0,1
2000-01-13,3.297,10448100.0,37.96121832872495,-0.29080355092353516,26.855373733339587,5793700.0,1
2000-01-14,3.2125,6853600.0,36.80234726743744,-0.3036280971591374,26.283323095443354,-1059900.0,1
2000-01-18,3.2065,5384900.0,36.716636163929685,-0.31069430179205515,25.893400925995092,-6444800.0,1
2000-01-19,3.3405,8245500.0,40.07339011492505,-0.30200036750967385,25.03801402045759,1800700.0,1
2000-01-20,3.2375,5978000.0,38.38784346185302,-0.2999638051230824,24.243726179601342,-4177300.0,1
2000-01-21,3.103,11461900.0,36.244011712574235,-0.30567916159942143,24.130790237498342,-15639200.0,1
2000-01-24,3.5065,29170200.0,45.98907257676939,-0.2744854475954206,22.500998855141283,13531000.0,1
2000-01-25,3.4625,9434100.0,45.178138176333285,-0.250427860297751,21.05199590243302,4096900.0,1
2000-01-26,3.2405,6558000.0,41.22803292341007,-0.24643484620074219,19.918194489362673,-2461100.0,1
2000-01-27,3.347,6784000.0,43.768095678631376,-0.23200231554125406,18.886535881331348,4322900.0,1
2000-01-28,3.0845,13777900.0,39.263762405502476,-0.23899104718363473,18.704241794376404,-9455000.0,1
2000-01-31,3.228,10697900.0,42.73338061160153,-0.2302957110381083,18.77411911688259,1242900.0,1
2000-02-01,3.372,13404600.0,46.06315361096924,-0.20937149370428454,17.644405658382787,14647500.0,1
2000-02-02,3.472,14025900.0,48.31083519500257,-0.18261466822958727,16.465569256563303,28673400.0,1
2000-02-03,4.2095,43750000.0,61.16445276311855,-0.1007383557553414,17.24890178514436,72423400.0,0
2000-02-04,3.928,11023000.0,55.492161076308626,-0.057898072697111225,17.976281990255337,61400400.0,0
2000-02-07,3.75,10129000.0,52.19589617483452,-0.03787337146690639,17.751731859125286,51271400.0,0
2000-02-08,4.1565,19472800.0,58.28933937556269,0.010674452818489222,18.362675883303243,70744200.0,0
2000-02-09,4.0125,9580400.0,55.586302334694956,0.03710167181338875,18.929981048611346,61163800.0,0
2000-02-10,3.8095,9979600.0,51.93033570415387,0.04119021465197514,18.642749415027435,51184200.0,0
2000-02-11,3.8095,8309000.0,51.93033570415387,0.04392408480013277,18.376034326699518,59493200.0,0
2000-02-14,3.722,5169700.0,50.27727961116405,0.03858538950538337,17.775579233115753,54323500.0,0
2000-02-15,3.6905,6424500.0,49.66436701136575,0.031450110975247636,16.70475013255454,47899000.0,0
2000-02-16,3.5345,4260200.0,46.63247340276339,0.013056942771006774,15.710408824890555,43638800.0,0
2000-02-17,3.45,6129600.0,45.02894157071896,-0.008243196907768535,14.856976865712616,37509200.0,0
2000-02-18,3.2375,8726400.0,41.192777937567584,-0.04178896791640696,14.731452972020278,28782800.0,0
2000-02-22,3.178,5685800.0,40.16107786755556,-0.07234147833153504,14.741348735025548,23097000.0,1
2000-02-23,3.522,8441200.0,48.2335559240314,-0.06801263061311369,13.739971764417547,31538200.0,0
2000-02-24,3.422,5869300.0,46.27906383451619,-0.07182321851904394,12.810121720281543,25668900.0,0
2000-02-25,3.4565,4870500.0,47.07585094289062,-0.07123808689526845,12.030578572315756,30539400.0,0
2000-02-28,3.2875,5057700.0,43.65973855574783,-0.08344930186928767,11.51538038554454,25481700.0,0
2000-02-29,3.444,7148500.0,47.461819185364234,-0.07958117340882609,10.73129937019618,32630200.0,0
2000-03-01,3.294,5576700.0,44.37106864622262,-0.08760949243941818,10.116528478848819,27053500.0,1
2000-03-02,3.128,7980100.0,41.175419319255184,-0.10614325244983158,10.129247257575917,19073400.0,1
2000-03-03,3.125,6059500.0,41.11778425506893,-0.11969371111953064,10.1675952025394,13013900.0,1
2000-03-06,3.197,7665800.0,43.17364857086254,-0.12320254670269026,9.578749776519858,20679700.0,1
2000-03-07,3.175,4178800.0,42.6832573050461,-0.12630260253903902,9.190405957065208,16500900.0,1
2000-03-08,3.1815,5940700.0,42.88965939188679,-0.1267735567978412,9.194343194231667,22441600.0,1
2000-03-09,3.4405,8312500.0,50.53354929860319,-0.10503685649578776,8.925630469334305,30754100.0,1
2000-03-10,3.344,3713500.0,47.957982541843435,-0.09450768268083687,8.67611151050104,27040600.0,1
2000-03-13,3.2655,5634300.0,45.908188658749694,-0.0914434276100824,8.18286140428013,21406300.0,1
2000-03-14,3.2815,4805300.0,46.4109482553701,-0.08672421434826516,7.642879277272628,26211600.0,1
2000-03-15,3.1875,6082700.0,43.83328927547586,-0.08953709040412594,7.505488002838318,20128900.0,1
2000-03-16,3.3125,9703100.0,47.971504983275054,-0.0807490350016904,7.876977530612214,29832000.0,1
2000-03-17,3.2405,5298500.0,45.87490084313627,-0.07868717923053259,8.221932092116544,24533500.0,1
2000-03-20,3.2095,5813500.0,44.963710477794706,-0.07864797964651382,9.062875877633825,18720000.0,1
2000-03-21,3.619,17082900.0,57.08872559495576,-0.04505432778272089,9.258573400212681,35802900.0,0
