,price,volume,rsi,macd,adx,obv,target
1999-12-07,19.1403838894092,1824900.0,46.89361777899985,-0.007423214954179969,0.0,323600.0,0
1999-12-08,19.3003313870923,1678700.0,49.52065965800385,-0.008765741401742133,0.0,2002300.0,0
1999-12-09,19.6607464152048,1209300.0,54.9308191522104,0.019033372500473433,8.030647005101228,3211600.0,0
1999-12-10,19.3536472196533,1342600.0,50.012306916615906,0.016098458989546316,7.958082790483682,1869000.0,0
1999-12-13,19.0998638566628,1590900.0,46.321121203175096,-0.006629259572267898,8.757640575135378,278100.0,1
1999-12-14,18.7266530287356,1808300.0,41.47343213679415,-0.05413213349868329,9.79773743587514,-1530200.0,1
1999-12-15,19.1809039221556,1258300.0,48.53346698606248,-0.05449605594884943,9.692669962772731,-271900.0,1
1999-12-16,19.0742722570335,1232800.0,47.09723599856874,-0.06266637239733441,9.595107309177637,-1504700.0,1
1999-12-17,18.66054139636,2283400.0,41.914451271586145,-0.10135764200589037,10.09314192739314,-3788100.0,1
1999-12-20,18.370503267228,1187900.0,38.69935939752022,-0.15365318670681916,11.484913418830526,-4976000.0,1
1999-12-21,18.2212189360571,1210300.0,37.12104467479833,-0.20478316767181326,12.777272660879529,-6186300.0,1
1999-12-22,18.0740672381886,1090800.0,35.580624723655475,-0.2542471552359302,14.258997373462076,-7277100.0,1
1999-12-23,18.4344822663012,876600.0,41.93609223899172,-0.26135253179443296,15.09869345109673,-6400500.0,1
1999-12-27,18.0484756385593,1226900.0,37.65167419149814,-0.2947335973305698,15.902006315778484,-7627400.0,1
1999-12-28,18.4472780661158,1018400.0,44.015514690918586,-0.2857147673064482,16.429177407645547,-6609000.0,1
1999-12-29,18.3406464009938,755200.0,42.75881015461939,-0.2838989533393743,16.19706877173874,-7364200.0,1
1999-12-30,18.2340147358717,901100.0,41.48329584477693,-0.2877472210576535,16.257793037298832,-8265300.0,1
1999-12-31,18.4750022990476,559200.0,45.444195248154564,-0.268258995899167,16.64487082768144,-7706100.0,1
2000-01-03,17.8352123083152,2193800.0,38.07555018902685,-0.3009707390283012,17.90056200524674,-9899900.0,1
2000-01-04,17.8352123083152,1851200.0,38.07555018902685,-0.3231697316334241,19.088664026334705,-8048700.0,1
2000-01-05,18.2212189360571,2783800.0,44.38547441710273,-0.3060867073117812,18.55582016834703,-5264900.0,1
2000-01-06,18.9271205591651,2176700.0,53.6806669020112,-0.23290316325273963,17.720052884607927,-3088200.0,1
2000-01-07,19.2598113543459,2243700.0,57.302695671971534,-0.14637202497835133,17.627974960201726,-844500.0,1
2000-01-10,18.7415814618527,1052400.0,50.657609079109065,-0.11824919268331158,16.88516206992196,-1896900.0,1
2000-01-11,18.5667055310525,1395600.0,48.609111129512286,-0.10881828217201317,15.839510356540492,-3292500.0,1
2000-01-12,18.5005938986769,1496300.0,47.82179483096986,-0.10546316019828694,15.030090181244661,-4788800.0,1
2000-01-13,18.6733371961746,1626700.0,50.09622681710714,-0.08785255189771135,14.366498644922853,-3162100.0,1
2000-01-14,18.5539097312379,1836500.0,48.52149822810378,-0.08258087533924297,13.479737035159662,-4998600.0,1
2000-01-18,19.0465480241018,2158700.0,54.82914854223291,-0.03821077062378819,13.513295099425532,-2839900.0,0
2000-01-19,18.7543772616674,2513500.0,50.84969590032893,-0.026319487059449642,13.544456159100983,-5353400.0,0
2000-01-20,18.66054139636,1709900.0,49.60446636331717,-0.02418849931066447,13.078371176153054,-7063300.0,0
2000-01-21,18.8866005264187,1973900.0,52.61497605850866,-0.004210062644560253,13.345258790337272,-5089400.0,0
2000-01-24,18.9399163589797,1768300.0,53.323195629614354,0.015743651445081497,13.786049863625555,-3321100.0,0
2000-01-25,18.8866005264187,1927300.0,52.47851403301691,0.02694437354526258,14.014170267349243,-5248400.0,0
2000-01-26,18.713857228921,1340500.0,49.7298377240797,0.021632717572135363,13.583377440617742,-6588900.0,0
2000-01-27,17.9802313728812,1775400.0,40.11919580855739,-0.041298223259811806,13.41033454447231,-8364300.0,1
2000-01-28,17.607020544954,2033000.0,36.27818767591157,-0.11990426034729751,13.873856001487257,-10397300.0,1
2000-01-31,17.8352123083152,1830300.0,40.057053788782746,-0.16192042497280923,14.684824407461187,-8567000.0,1
2000-02-01,17.7413764430078,1305800.0,39.03199742912146,-0.20047930759598032,15.163071979716465,-9872800.0,1
2000-02-02,17.6219489780711,1709400.0,37.70936845082181,-0.23793157115499497,15.629365772988935,-11582200.0,1
2000-02-03,17.3681656150806,1756400.0,34.995591129672874,-0.2848078684707893,16.699129823846643,-13338600.0,1
2000-02-04,16.7539672239776,2112100.0,29.46832248412572,-0.36728452157290903,18.347996934549315,-15450700.0,1
2000-02-07,16.8605988890996,1567800.0,31.491363842252696,-0.4192111736907904,19.87908782305894,-13882900.0,1
2000-02-08,16.7006513914165,1783700.0,30.09686624948374,-0.4678764573739258,20.85228587830505,-15666600.0,1
2000-02-09,15.9947497683085,2401200.0,24.863909658568943,-0.556983843785293,22.663748946184512,-18067800.0,1
2000-02-10,16.3807563960504,1916300.0,31.842602990339827,-0.5896573774354685,24.359849299627715,-16151500.0,1
2000-02-11,15.7814864380644,2509900.0,27.562480063262953,-0.6563415685114364,26.508473484459017,-18661400.0,1
2000-02-14,15.740966405318,2519900.0,27.295322255757213,-0.7043397086503091,28.503624513230942,-21181300.0,1
2000-02-15,16.5279080939188,3071700.0,39.550033701559244,-0.6711424505955144,28.956077152446028,-18109600.0,1
2000-02-16,16.7326408909532,2374600.0,42.27603729204987,-0.6211528947994651,28.696442551453544,-15735000.0,1
2000-02-17,16.7197381990953,1867900.0,42.147041647759806,-0.5759378975029108,28.688009635035378,-17602900.0,1
2000-02-18,16.3842682107919,1785200.0,38.82961105452293,-0.5607107858958713,28.909053483670444,-19388100.0,1
