,price,volume,rsi,macd,adx,obv,target
1999-12-07,25.8690169808435,5460000.0,22.198932839179804,-0.5286991968908268,0.0,-16973600.0,1
1999-12-08,25.2678629130728,4971000.0,19.568154939527645,-0.6920394689876872,0.0,-21944600.0,1
1999-12-09,25.8330031426821,4335900.0,28.184540922130495,-0.7670437154880432,42.553964320341514,-17608700.0,1
1999-12-10,26.1460465051618,2925000.0,32.49819635042823,-0.7920943672721314,43.55441888681092,-14683700.0,1
1999-12-13,25.8136110759799,2713700.0,30.40927962115211,-0.8292132954448626,44.693499701580926,-17397400.0,1
1999-12-14,26.0934108955413,2887200.0,34.24056709800276,-0.8265251390858914,45.168322647892055,-14510200.0,1
1999-12-15,26.2263850672141,3021700.0,36.04270508722613,-0.8043923175420211,45.60922966946667,-11488500.0,1
1999-12-16,26.2153038862414,3238500.0,35.95427826968967,-0.778768892677359,45.62531069847917,-14727000.0,1
1999-12-17,26.284561267321,7296000.0,36.99469761262896,-0.7442938953020857,45.90739376208586,-7431000.0,1
1999-12-20,25.4811756467979,3185500.0,30.75364835198272,-0.7728893298184367,46.6007963565056,-10616500.0,1
1999-12-21,25.2096867129659,2905800.0,28.97475210511699,-0.8081425415563785,47.30870518482836,-13522300.0,1
1999-12-22,25.3648232465842,2891200.0,31.416062630142576,-0.8141774136942637,47.19212226119778,-10631100.0,1
1999-12-23,26.4729413438574,2903600.0,45.75786381452845,-0.7212303295332703,45.206471645498844,-7727500.0,1
1999-12-27,27.0796360021145,2081200.0,51.711640509460395,-0.5917920962181533,42.475640920066546,-5646300.0,1
1999-12-28,26.4396978009392,1706700.0,45.97884602947811,-0.5346855067206562,40.083940308763154,-7353000.0,1
1999-12-29,25.6086092279843,1558000.0,39.80679845259262,-0.5501482585840272,38.63334775123584,-8911000.0,1
1999-12-30,25.9022605237617,1223900.0,42.73197894043977,-0.5325682797986282,37.286368947817614,-7687100.0,1
1999-12-31,25.8330031426821,685600.0,42.21096501336851,-0.518250443288796,36.03560291607213,-8372700.0,1
2000-01-03,25.5393518469047,2321200.0,39.98487554345714,-0.5245519517458028,35.39536432839427,-10693900.0,1
2000-01-04,24.6029920547089,3911100.0,33.853995905919874,-0.5982065990397523,35.668969305539605,-14605000.0,1
2000-01-05,24.9852927982681,4114800.0,38.031754228823715,-0.6185991369030504,36.003654162452435,-10490200.0,1
2000-01-06,25.6418527709025,2678200.0,44.51335274326952,-0.5751514791567018,34.63001741201925,-7812000.0,0
2000-01-07,26.7333490967166,4931900.0,53.264964793264355,-0.4474859266790183,32.19112870137822,-2880100.0,0
2000-01-10,26.05739705738,2464300.0,48.195265090652676,-0.3962856032127675,29.92644632721154,-5344400.0,1
2000-01-11,26.05739705738,3076500.0,48.195265090652676,-0.3516553144205439,28.185837680071966,-2267900.0,0
2000-01-12,25.9022605237617,2581600.0,47.0044425013856,-0.3250566599070659,26.51759546776893,-4849500.0,1
2000-01-13,25.8690169808435,2329600.0,46.73794679076862,-0.3031648153796418,24.689862306263734,-7179100.0,1
2000-01-14,25.9548961333822,2702400.0,47.56500800438302,-0.27570745703878075,22.971612237846067,-4476700.0,1
2000-01-18,25.2955658655046,2435000.0,42.15311314100877,-0.30364946310339747,22.118347755528724,-6911700.0,1
2000-01-19,25.3842153132865,2753700.0,43.0906813385101,-0.3150092046346309,21.497166041413553,-4158000.0,1
2000-01-20,25.4700944658252,2411700.0,44.03696326980692,-0.3134686799379516,21.1492797687682,-1746300.0,0
2000-01-21,24.8994136457294,4269000.0,39.35404335152472,-0.3542138194004707,21.00011138442778,-6015300.0,1
2000-01-24,23.1846008901991,5652100.0,29.278710101340465,-0.5188942046695288,22.6388078173693,-11667400.0,1
2000-01-25,23.6167669481357,6478400.0,33.87348587047147,-0.6075291890230545,24.160454505100716,-5189000.0,1
2000-01-26,23.1319652805786,4745700.0,31.408262929937806,-0.7087227805692855,25.687647253483167,-9934700.0,1
2000-01-27,22.3008767076237,6203300.0,27.688134794487496,-0.8462265600441405,27.634487347400945,-16138000.0,1
2000-01-28,23.4089948048969,6170000.0,38.19888493035925,-0.8559169486246496,28.713529621053407,-9968000.0,1
2000-01-31,23.8411608628335,4527600.0,41.75466264442274,-0.8192803088608791,28.876616524390045,-5440400.0,1
2000-02-01,23.4948739574356,3039600.0,39.7796523054714,-0.8088638877231595,29.02805436320264,-8480000.0,1
2000-02-02,23.6167669481357,2895800.0,40.84041169376975,-0.7817613945511717,28.726962262141388,-5584200.0,1
2000-02-03,23.0793296709582,5118600.0,37.688217532406256,-0.7944907750653272,29.312639537376153,-10702800.0,1
2000-02-04,22.7524348322626,3453000.0,35.8744840379662,-0.8214869916596541,29.87429388044482,-14155800.0,1
2000-02-07,22.5612844604829,2911000.0,34.819272962803595,-0.8485246611942152,30.606526894194925,-17066800.0,1
2000-02-08,22.7330427655603,3062700.0,36.623168896663266,-0.8463367065932488,30.698359453538423,-14004100.0,1
2000-02-09,22.1623619454646,6211300.0,33.3232736540935,-0.8805020302999154,31.220706390155804,-20215400.0,1
2000-02-10,21.608302896828,5672400.0,30.454216965336755,-0.9414339655134789,32.23523861418693,-25887800.0,1
2000-02-11,21.5307346300188,5116600.0,30.063960256665027,-0.9846318509617227,33.50486898672256,-31004400.0,1
2000-02-14,21.5835605543435,3686500.0,30.715122326790137,-1.0030414384640842,34.68381147550564,-27317900.0,1
2000-02-15,22.1563047864954,4931700.0,37.50880407075038,-0.9603452342163301,34.58850061539145,-22386200.0,1
