,price,volume,rsi,macd,adx,obv,target
2006-06-30,4.42607256549551,2596400.0,59.45947917353957,0.031009306543070103,0.0,30325100.0,0
2006-07-03,4.36152567391536,702900.0,54.50639595655267,0.03171554923857478,0.0,29622200.0,1
2006-07-05,4.38918862744971,1326600.0,56.190730791341586,0.03411417386327997,7.923515549079525,30948800.0,1
2006-07-06,4.31542075135812,809700.0,50.79048122644709,0.029720055760078523,7.906184976151733,30139100.0,1
2006-07-07,4.25271805668026,838000.0,46.683556926978866,0.0209367561805891,7.6251236259704855,29301100.0,1
2006-07-10,4.28683569937263,497800.0,49.09550523671208,0.016538293463507436,7.364138086516469,29798900.0,1
2006-07-11,4.2739263210566,807900.0,48.206863516599675,0.011873925902538218,7.739404347992208,28991000.0,1
2006-07-12,4.20015844496501,767200.0,43.375436154558315,0.002199574582192554,8.087865876505393,28223800.0,0
2006-07-13,4.12362427351998,1662500.0,39.007398672220795,-0.01151040180494256,9.262648223293422,26561300.0,1
2006-07-14,4.05262269278182,966300.0,35.44162746310796,-0.02778460738873445,10.597344216047347,25595000.0,1
2006-07-17,4.0563110865864,645800.0,35.77009895835977,-0.039924188811696126,11.929032550327094,26240800.0,1
2006-07-18,4.0480122005261,1248300.0,35.3344757914213,-0.04964229976826662,13.217147108161393,24992500.0,1
2006-07-19,4.17526178678409,1584000.0,46.161415529368234,-0.04653951600405026,12.961733751532194,26576500.0,0
2006-07-20,4.20015844496501,882900.0,47.99600536478318,-0.04159213700621134,12.414946807261476,27459400.0,0
2006-07-21,4.17526178678409,851000.0,46.297044779649475,-0.0392280591048868,12.18343098972846,26608400.0,1
2006-07-24,4.14944303015204,501700.0,44.536397946721415,-0.038988433824013846,11.968452016304946,26106700.0,1
2006-07-25,4.24902966287569,690000.0,52.10265103003549,-0.030412147773306586,11.323904912411786,26796700.0,1
2006-07-26,4.30435556994438,1033800.0,55.71693786113659,-0.01893279548566884,11.877128958528985,27830500.0,1
2006-07-27,4.28960199472606,600900.0,54.53514589410513,-0.010900165984443433,12.390837001352098,27229600.0,1
2006-07-28,4.26931582880087,433900.0,52.87446139649315,-0.006100846523277248,12.583827555217184,26795700.0,1
2006-07-31,4.22966559540164,461600.0,49.68948921925877,-0.005434152213489085,12.332023043679182,26334100.0,1
2006-08-01,4.14944303015204,739000.0,43.92445900218484,-0.011249406580849275,11.900164697921676,25595100.0,1
2006-08-02,4.61233645262677,5337200.0,67.41597152122552,0.021248651836791588,13.261552777176073,30932300.0,0
2006-08-03,4.60957015727334,2168900.0,67.23469849273715,0.046247270604905744,14.609855250091877,28763400.0,0
2006-08-04,4.61510274798021,1421600.0,67.42336348155422,0.06574739487443448,16.388436185391512,30185000.0,0
2006-08-07,4.71192308535042,691800.0,70.61242984217343,0.08799957162938643,18.039975625312604,30876800.0,0
2006-08-08,4.84747155766872,1407300.0,74.3920248985664,0.11524375267214104,20.09412806510431,32284100.0,0
2006-08-09,4.87329031430078,1504300.0,75.05024812683035,0.13733520555466594,22.56290040918438,33788400.0,0
2006-08-10,4.93875930433207,872500.0,76.68664183819564,0.15830084783772058,24.855331871544447,34660900.0,0
2006-08-11,4.94982448574581,907800.0,76.96167186508659,0.17380561511998138,27.139868634705046,35568700.0,0
2006-08-14,5.00053990055878,631400.0,78.22936047767332,0.1880182081595967,29.287623277084432,36200100.0,0
2006-08-15,5.02451446028854,855300.0,78.82259938146122,0.19892327347495087,31.399414387960938,37055400.0,0
2006-08-16,5.00422829436336,1534400.0,76.912785724679,0.20358192652884632,33.50843330645575,35521000.0,0
2006-08-17,4.92953831982062,1021600.0,70.17142510243208,0.1989536718180469,34.37205581537729,34499400.0,0
2006-08-18,4.92861622136947,934300.0,70.08974746291943,0.19298671030985837,34.42882724045527,33565100.0,0
2006-08-21,5.00330619591221,1248700.0,72.84673407178101,0.19207063632468824,35.25604561516631,34813800.0,0
2006-08-22,5.09274974567326,976100.0,75.73160881991018,0.19629917336767644,36.02417696311227,35789900.0,0
2006-08-23,5.03465754325114,1043900.0,70.49313011382515,0.19274096631790893,36.833415140181515,34746000.0,0
2006-08-24,5.13147788062135,542000.0,73.75193744951483,0.19548027868944207,37.624736498798036,35288000.0,0
2006-08-25,5.07154148129693,801600.0,68.69411242223899,0.19061751688411555,38.36059706133366,34486400.0,0
2006-08-28,5.07338567819922,374800.0,68.76509175693953,0.18478249679654368,38.83500775500888,34861200.0,0
2006-08-29,5.103814927087,321100.0,69.97474591293293,0.1805325208922408,39.3749466477092,35182300.0,0
2006-08-30,5.09459394257556,580100.0,69.10141532072552,0.17440983991340175,39.940749162468975,34602200.0,0
2006-08-31,5.15453034189997,702300.0,71.58396980627109,0.17240654234146202,40.66882108422487,35304500.0,0
2006-09-01,5.21446674122439,2055900.0,73.84688514618057,0.17365351151363928,41.92742572768106,37360400.0,0
2006-09-05,5.24212969475874,461800.0,74.84266230859149,0.17485825560268697,43.09613003946181,37822200.0,0
2006-09-06,5.42931568034115,1569400.0,80.3067297198389,0.18874167212230386,44.746098804477235,39391600.0,0
2006-09-07,5.54365588828312,2654900.0,82.76868480952218,0.206589246700025,46.75756999510088,42046500.0,0
2006-09-08,5.50953824559076,1517600.0,79.57208870873191,0.2154964604512717,48.701272512171975,40528900.0,0
2006-09-11,5.70502311723348,1706400.0,83.50338202847841,0.2356134813794304,50.64746127010142,42235300.0,0
2006-09-12,5.72623138160981,1699200.0,83.86614773048811,0.2503814535511202,52.48449490893523,43934500.0,0
2006-09-13,5.65707399777394,1235500.0,77.85399099872365,0.2535816238804811,54.21945958020067,42699000.0,0
2006-09-14,5.78985617473881,1301000.0,80.71287770539202,0.26379137117412466,56.0051804014123,44000000.0,0
2006-09-15,5.9908736370884,1931400.0,84.06635451992692,0.28481987250416463,57.94360144752836,45931400.0,0
2006-09-18,6.00470511385557,2365600.0,84.26903074412488,0.2991527492142083,59.98054067036422,48297000.0,0
2006-09-19,5.97888635722351,1726300.0,82.16795556667985,0.30491344697120937,61.87198423442609,46570700.0,0
2006-09-20,6.13656519236929,1347600.0,84.6801381710667,0.31853038565887903,63.67736846709245,47918300.0,0
2006-09-21,6.36708980515551,2906300.0,87.46132567994924,0.3439583792614087,65.55905370605394,50824600.0,0
2006-09-22,6.07939508839831,2987400.0,70.30701249537138,0.33701083696639067,65.43175915213554,47837200.0,0
2006-09-25,5.93831402537314,3567700.0,63.7080850931677,0.3164726966709477,63.18874122828549,44269500.0,0
2006-09-26,6.08584977755632,3996900.0,67.17752426424775,0.30854426844644234,61.57561495816126,48266400.0,0
2006-09-27,6.25551589256698,1963300.0,70.6521512586197,0.31235098179337495,60.231197560258394,50229700.0,0
2006-09-28,6.33020586710972,1339500.0,72.05463710256849,0.31773206877465743,59.246870296101974,51569200.0,0
2006-09-29,6.48696260380435,2005600.0,74.7788196589685,0.3308319527410486,58.69956323800925,53574800.0,0
2006-10-02,6.4510007642097,1739300.0,73.02020823456967,0.33445647915456256,58.19134954120886,51835500.0,0
2006-10-03,6.42518200757764,1673300.0,71.71618133929078,0.3314251220645348,56.818791769816094,50162200.0,0
2006-10-04,6.41135053081047,1367900.0,70.98482853610682,0.32416983705742286,55.54427383923711,48794300.0,0
2006-10-05,6.70181154292111,2575600.0,76.42248515231594,0.33796193282355524,55.060319046528186,51369900.0,0
2006-10-06,6.93816141962421,3541000.0,79.74831494472735,0.36377040904030444,55.23286330133437,54910900.0,0
2006-10-09,6.72119961874441,3708400.0,69.9885064033262,0.36253769935030533,54.69927886011424,51202500.0,0
2006-10-10,6.63903110692185,2676400.0,66.66114934171569,0.3508856643269933,53.913893268847175,48526100.0,0
2006-10-11,6.41652985580682,3548300.0,58.54460309192861,0.3200084924753135,51.87868281175419,44977800.0,0
2006-10-12,6.50054485104113,1511700.0,60.500298933936,0.2988722065421152,49.988844530167846,46489500.0,0
2006-10-13,6.47100111645324,1132100.0,59.43840617436498,0.27654972213681983,48.52835470712315,45357400.0,0
2006-10-16,6.58271336286369,880200.0,62.14408918261982,0.2648205506253918,47.175586539773576,46237600.0,0
2006-10-17,6.41652985580682,986500.0,56.144257545520176,0.23935632679138497,45.5445596066224,45251100.0,0
