,price,volume,rsi,macd,adx,obv,target
2012-06-25,32.06,24352900.0,53.957098039442165,-0.39115550682809186,0.0,481940800.0,0
2012-06-26,33.1,24858700.0,58.10510752193758,-0.1758380162144917,0.0,506799500.0,0
2012-06-27,32.23,28568000.0,53.74324907665317,-0.07453983392503716,41.51647055069026,478231500.0,0
2012-06-28,31.36,17713300.0,49.72345985261623,-0.06372741379597713,40.15236525241205,460518200.0,0
2012-06-29,31.095,19526900.0,48.532697491909865,-0.07566950726983634,38.959042146208226,440991300.0,0
2012-07-02,30.771,14122000.0,47.04915693415052,-0.1100096715895873,37.96542296498352,426869300.0,0
2012-07-03,31.2,8763600.0,49.26075381825584,-0.10143846504135823,37.042776582417716,435632900.0,0
2012-07-05,31.47,10032100.0,50.6575872704083,-0.07202867683358605,35.99900011518067,445665000.0,0
2012-07-06,31.73,10945600.0,52.02717598410901,-0.02742523961287091,34.74614722856318,456610600.0,0
2012-07-09,32.17,17785200.0,54.33709794516248,0.04293272675222326,32.646160414440416,474395800.0,0
2012-07-10,31.47,14269500.0,50.196126154264796,0.041726771890097325,31.316249842393546,460126300.0,0
2012-07-11,30.97,13030300.0,47.416466237277994,0.00042037680563211666,30.496818592565837,447096000.0,0
2012-07-12,30.81,11300700.0,46.52854268794048,-0.04471050682813171,29.735918146297255,435795300.0,0
2012-07-13,30.72,8108300.0,46.006658318858115,-0.08673942697619808,29.058681552586005,427687000.0,0
2012-07-16,28.245,24672100.0,34.53489146772158,-0.3161154820554408,29.823517967538056,403014900.0,1
2012-07-17,28.09,30438600.0,33.963720584699345,-0.5045882832479442,30.990760344960613,372576300.0,1
2012-07-18,29.11,16841800.0,40.89174286096881,-0.5651343436324119,31.34129197460826,389418100.0,1
2012-07-19,29.0,13685100.0,40.39949950770875,-0.6149053670831215,31.451391247735625,375733000.0,1
2012-07-20,28.76,11869100.0,39.288253527459254,-0.6660375892501058,31.553626287068177,363863900.0,1
2012-07-23,28.75,12390700.0,39.2398212735517,-0.6993059959136971,32.03229354776134,351473200.0,1
2012-07-24,28.45,11539800.0,37.73687376128155,-0.741333311722336,31.965189402473094,339933400.0,1
2012-07-25,29.34,17230200.0,44.525245511134436,-0.6948153020371102,31.856672626686297,357163600.0,1
2012-07-26,26.845,64597400.0,33.49892157229161,-0.8494827838844508,32.51144302341936,292566200.0,1
2012-07-27,23.705,123102300.0,25.080881304553373,-1.2114646254014865,34.59632357321857,169463900.0,1
2012-07-30,23.15,29285900.0,23.935951433440167,-1.5255362718846186,36.532284083746404,140178000.0,1
2012-07-31,21.71,56179400.0,21.22822951685933,-1.8690905673128881,38.64414586885765,83998600.0,1
2012-08-01,20.88,44604400.0,19.835410039020715,-2.1831676868955725,40.75735518854874,39394200.0,1
2012-08-02,20.04,56374500.0,18.511642041079483,-2.471368647401718,42.90634997374543,-16980300.0,1
2012-08-03,21.09,80647000.0,25.22900125832804,-2.585242691702522,43.64642228029699,63666700.0,1
2012-08-06,21.92,27778900.0,30.131926293924238,-2.578787966391726,44.33363227923774,91445600.0,1
2012-08-07,20.72,36782900.0,27.34055717696222,-2.640069444095328,45.19685662832335,54662700.0,1
2012-08-08,20.72,29537400.0,27.34055717696222,-2.6579957363805384,46.075584906662854,84200100.0,1
2012-08-09,21.01,15610700.0,29.17936485612013,-2.6186160994372685,46.870136918112415,99810800.0,1
2012-08-10,21.807,25794700.0,34.11428908422903,-2.4943429810408304,46.90672002975748,125605500.0,1
2012-08-13,21.6,24973100.0,33.46210435132993,-2.385065261715525,46.296471450726514,100632400.0,1
2012-08-14,20.38,39308800.0,29.841142733615726,-2.369590521369876,46.20256713273541,61323600.0,1
2012-08-15,21.2,47861100.0,34.937285170630304,-2.265049451054967,46.11537026602939,109184700.0,1
2012-08-16,19.87,157565300.0,31.003647826386043,-2.263428390824714,46.314985378210075,-48380600.0,1
2012-08-17,19.05,129293400.0,28.847122526710933,-2.301777379067964,46.75407156623298,-177674000.0,1
2012-08-20,20.011,101186600.0,34.5893992672741,-2.2289308327734396,47.25148036255194,-76487400.0,1
2012-08-21,19.159,70640600.0,32.11483765055628,-2.2144222186364395,47.713359959133825,-147128000.0,1
2012-08-22,19.439,49892200.0,33.79122330771783,-2.1554833076329594,48.19408141237663,-97235800.0,1
2012-08-23,19.44,32813700.0,33.79751112690306,-2.0846624137398315,48.36114850052585,-64422100.0,1
2012-08-24,19.409,29622200.0,33.69069401894342,-2.007892056259575,48.56848890205585,-94044300.0,1
2012-08-27,19.15,20704000.0,32.759133122374465,-1.9455233481908891,48.834949490242465,-114748300.0,1
2012-08-28,19.34,25417000.0,34.19656858210482,-1.8593310743685159,49.1585610830138,-89331300.0,1
2012-08-29,19.1,16124700.0,33.230226968242576,-1.7897578561388094,49.45905756201576,-105456000.0,1
2012-08-30,19.0885,30647500.0,33.181840946981055,-1.715770202470079,49.607107001042046,-136103500.0,1
2012-08-31,18.058,58764200.0,29.093745070751538,-1.7204548589692799,50.296042943913115,-194867700.0,1
2012-09-04,17.729,46622400.0,27.911424665508264,-1.7307638649561845,51.15122100408024,-241490100.0,1
2012-09-05,18.58,60781800.0,35.24214052453394,-1.6512308768837478,51.08954975334975,-180708300.0,1
2012-09-06,18.96,46066500.0,38.2612343230994,-1.5397878705377188,50.193465067645356,-134641800.0,1
2012-09-07,18.98,36371700.0,38.42394911530582,-1.4333320921123338,49.11030073098066,-98270100.0,1
2012-09-10,18.81,24797800.0,37.518796925629054,-1.3471535524102585,48.281709896389906,-123067900.0,1
2012-09-11,19.43,50508200.0,42.81014191814781,-1.2148238868042434,46.88590193911704,-72559700.0,1
2012-09-12,20.931,121584000.0,53.15361647744695,-0.97756475977042,43.55230343816349,49024300.0,0
2012-09-13,20.713,65041600.0,51.69135239941882,-0.7979279535784443,40.756216469791354,-16017300.0,1
2012-09-14,22.0,72819800.0,58.88289783258431,-0.5454270033872604,38.74163138382267,56802500.0,0
2012-09-17,21.52,50667600.0,55.560794260079476,-0.37967352955214295,37.45147939220994,6134900.0,0
2012-09-18,21.87,36760500.0,57.44607116158963,-0.21756270498557484,36.08926664168633,42895400.0,0
2012-09-19,23.29,78782800.0,64.10038956454679,0.02520290064333608,35.87316087105404,121678200.0,0
2012-09-20,22.59,57248900.0,59.18696425208885,0.15927620533102527,35.67249122689548,64429300.0,0
2012-09-21,22.86,51218100.0,60.44635531019335,0.28404274085179537,35.48615512874825,115647400.0,0
2012-09-24,20.79,79106500.0,48.17314962681085,0.2134291405805797,33.11429538878623,36540900.0,0
2012-09-25,20.28,46291700.0,45.71057666336229,0.11498909318198969,31.036737813310904,-9750800.0,0
2012-09-26,20.62,38271900.0,47.63251396123104,0.0636757900271725,29.475956647527305,28521100.0,0
2012-09-27,20.32,30215900.0,46.0823224103147,-0.0011842143251996617,27.797199416195326,-1694800.0,0
2012-09-28,21.66,65486000.0,53.3805475629022,0.05490762516311776,26.296044554761554,63791200.0,0
2012-10-01,21.99,51262700.0,54.99613230891884,0.12455328145552258,25.436831577796095,115053900.0,0
2012-10-02,22.27,29341400.0,56.37747720956789,0.2000357383062017,24.638990956328172,144395300.0,0
2012-10-03,21.83,32000100.0,53.59363367902644,0.22179509067290226,23.874452630299803,112395200.0,0
2012-10-04,21.9475,46892100.0,54.24340827022023,0.245688656308662,22.697044583949737,159287300.0,0
2012-10-05,20.91,40529300.0,47.869847554492814,0.17884528287446955,21.142770943556606,118758000.0,0
2012-10-08,20.4,32236700.0,45.06662883873964,0.08375323493743281,20.424991148434508,86521300.0,0
2012-10-09,20.227,27161800.0,44.122746014553826,-0.005504104442724866,19.93249959284756,59359500.0,0
2012-10-10,19.64,39321800.0,40.986027686506645,-0.12219855433381355,19.948268106210502,20037700.0,1
2012-10-11,19.75,21817300.0,41.82070897949628,-0.20345832499681293,19.935768234539093,41855000.0,1
2012-10-12,19.5181,18809400.0,40.519570816689416,-0.2833039193909386,20.048273561229454,23045600.0,1
2012-10-15,19.52,20189700.0,40.535894736333724,-0.34248090737049,20.029927354431205,43235300.0,1
2012-10-16,19.48,21834700.0,40.28523342181602,-0.38813261125907417,20.213000639088783,21400600.0,1
2012-10-17,19.88,44074500.0,44.01356916642232,-0.38756762016028645,19.198696098103348,65475100.0,1
2012-10-18,18.975,52157400.0,38.2020088719196,-0.45490197049416636,18.804526852772053,13317700.0,1
2012-10-19,19.0,34835000.0,38.44380760508568,-0.5004784333427175,18.53806739948997,48152700.0,1
2012-10-22,19.321,32447300.0,41.603302498918325,-0.5048761927443692,17.742253522073508,80600000.0,1
2012-10-23,19.5,78381200.0,43.34945700227901,-0.48828895361182134,16.48906041634481,158981200.0,1
2012-10-24,23.2299,228949900.0,66.09784186597385,-0.17218682661496132,18.62323347401423,387931100.0,0
2012-10-25,22.56,76142000.0,61.334123006004596,0.02399446179129683,20.17646386825881,311789100.0,0
2012-10-26,21.9425,73175800.0,57.239038744457844,0.12816505000940026,20.97570129852728,238613300.0,0
2012-10-31,21.11,99378200.0,52.180756940167875,0.1419093564479823,20.604495847759647,139235100.0,1
2012-11-01,21.21,37713900.0,52.72123399714204,0.1590376950372061,20.25980507204685,176949000.0,1
2012-11-02,21.18,38344400.0,52.5294187617023,0.16825177575483607,20.11447114582834,138604600.0,1
2012-11-05,21.25,31806700.0,52.95948079865228,0.17913743129423665,19.82394615617481,170411300.0,1
2012-11-06,21.1712,29062700.0,52.38414777620798,0.1793385867020909,19.554172951496533,141348600.0,0
2012-11-07,20.47,33396800.0,47.44485180118636,0.12151626017887551,18.631044958381917,107951800.0,0
2012-11-08,19.99,34254600.0,44.36128541235158,0.036538468627313136,17.376995220514356,73697200.0,1
2012-11-09,19.21,42295500.0,39.83101963523276,-0.09267818821368223,16.845774716361397,31401700.0,1
2012-11-12,20.07,67349200.0,46.33793920565411,-0.1242561593772713,16.57541456032811,98750900.0,0
2012-11-13,19.86,71775100.0,45.05659249686095,-0.16433284721908592,16.324365844011485,26975800.0,0
2012-11-14,22.36,229751000.0,59.43685856082844,0.005570976804779804,16.404018382142542,256726800.0,0
2012-11-15,22.17,78857700.0,58.19033507664036,0.12346632637556354,16.47798145326424,177869100.0,0
2012-11-16,23.5607,107182200.0,64.12154022340863,0.32536648542531665,17.47652743081326,285051300.0,0
2012-11-19,22.92,85021300.0,59.905190148406426,0.4287325190349449,18.5133485941127,200030000.0,0
2012-11-20,23.1,46655300.0,60.68730052426825,0.5191904368882447,19.33671471910919,246685300.0,0
2012-11-21,24.32,89862400.0,65.58704927521359,0.6814672621364046,20.48677220206535,336547700.0,0
2012-11-23,23.998,29520900.0,63.34306034194616,0.7751546065657458,21.644134692852898,307026800.0,0
2012-11-26,25.94,123865000.0,70.00787269193214,0.9946400803315747,23.461051030708486,430891800.0,0
2012-11-27,26.15,85760600.0,70.6297351469031,1.1720188409135623,25.33296781949401,516652400.0,0
2012-11-28,26.36,49205600.0,71.27122365095445,1.3143866010172403,27.071176266223425,565858000.0,0
2012-11-29,27.32,88759700.0,74.06042863197248,1.4875307253034045,29.133438147768317,654617700.0,0
2012-11-30,28.0,127049600.0,75.84905563953949,1.6604780508802754,31.233700053300936,781667300.0,0
2012-12-03,27.04,123526100.0,68.65196511034392,1.7004740689147972,33.49239728230324,658141200.0,0
2012-12-04,27.46,72869200.0,69.9934494336181,1.745935632116602,35.16134862033603,731010400.0,0
2012-12-05,27.71,58976300.0,70.7945994554685,1.78159998354689,36.767089078557376,789986700.0,0
2012-12-06,26.97,46001500.0,65.24194003218027,1.7302076664789183,37.60569146238428,743985200.0,0
2012-12-07,27.485,51751900.0,67.17172602381437,1.7113081853974137,38.399975712705704,795737100.0,0
2012-12-10,27.84,50608500.0,68.47119794186258,1.7053179003860066,39.342587239928555,846345600.0,0
2012-12-11,27.98,77099100.0,68.99247701418012,1.6923589260849248,40.254886654697586,923444700.0,0
2012-12-12,27.5801,46704200.0,65.65338787300308,1.6310188872326812,40.606664202765195,876740500.0,0
2012-12-13,28.24,81051600.0,68.37351158803381,1.6170149378500653,41.29985473451445,957792100.0,0
2012-12-14,26.812,91631600.0,57.72055800954848,1.4737011320619757,40.873254986117196,866160500.0,0
2012-12-17,26.75,57742500.0,57.30310416660658,1.3396780519480949,39.84052792354014,808418000.0,0
2012-12-18,27.71,60512900.0,61.89813474835604,1.2959884244862394,39.55392189410024,868930900.0,0
2012-12-19,27.41,61390300.0,59.73465339069515,1.223057936594632,39.49325499208518,807540600.0,0
2012-12-20,27.36,35574800.0,59.362245095651204,1.1479920792824636,39.43692144021405,771965800.0,0
2012-12-21,26.26,54555200.0,51.722484642080396,0.9883479793452103,37.94957609130312,717410600.0,0
2012-12-24,26.93,28230100.0,55.48072305184776,0.9054547616810353,36.56846969588583,745640700.0,0
2012-12-26,26.51,33175400.0,52.71061523691063,0.796687086739805,35.49121712151924,712465300.0,0
2012-12-27,26.05,43481700.0,49.77908298403003,0.6656960355836858,33.37391863134315,668983600.0,1
2012-12-28,25.9112,56574800.0,48.89543113801763,0.5444090748706714,31.000163491956634,612408800.0,1
2012-12-31,26.6197,60374500.0,53.438948086246626,0.49969810479784726,29.681357344202404,672783300.0,1
2013-01-02,28.0,69846400.0,60.75866825149772,0.5690829789026388,29.429281475825157,742629700.0,0
2013-01-03,27.77,63140600.0,59.091663109725964,0.5986114930428279,29.402254041910336,679489100.0,0
2013-01-04,28.76,72715400.0,63.707378996802795,0.6938989443715506,29.695599182309984,752204500.0,0
2013-01-07,29.4213,83781800.0,66.43196879753381,0.8133999510322667,30.501368614543612,835986300.0,0
2013-01-08,29.0607,45871300.0,63.626949964893676,0.8689907687746263,31.24958308733198,790115000.0,0
2013-01-09,30.59,104787700.0,69.50733416289152,1.0246372411508382,32.49888216269904,894902700.0,0
2013-01-10,31.3,95316400.0,71.78775000292256,1.1915438820022786,34.05241292440108,990219100.0,0
2013-01-11,31.72,89598000.0,73.07072710954753,1.3422366190567985,35.70716280028644,1079817100.0,0
2013-01-14,30.9475,98892800.0,67.03261431114191,1.3833806538538518,36.550307241390016,980924300.0,0
2013-01-15,30.1,173242600.0,61.07031398614037,1.3322441494486519,36.35351093458703,807681700.0,0
2013-01-16,29.85,75332700.0,59.3921224694346,1.257054647143164,35.73861588727557,732349000.0,0
2013-01-17,30.14,40256700.0,60.739861688210375,1.2069539869648693,35.217423997941346,772605700.0,0
2013-01-18,29.66,49631500.0,57.34723568106289,1.1156562732985158,33.80363200833101,722974200.0,0
2013-01-22,30.729,55243300.0,62.38609018613701,1.116689047226032,32.857539406977715,778217500.0,0
2013-01-23,30.82,48899800.0,62.789088578319074,1.1120316587393155,32.44093549374361,827117300.0,0
2013-01-24,31.08,43845100.0,63.97664865069414,1.116450722930761,32.054089002883366,870962400.0,0
2013-01-25,31.54,54363600.0,66.04156343778831,1.1438850242439322,32.027200639929944,925326000.0,0
