,price,volume,rsi,macd,adx,obv,target
1999-12-07,14.3740313525491,17475500.0,35.171270028756226,-0.18430580266104535,0.0,-50863100.0,1
1999-12-08,14.4548082220251,11810800.0,36.893361085265994,-0.21839882335553185,0.0,-39052300.0,1
1999-12-09,14.3485228674514,9636900.0,35.55503839636265,-0.25109960775902174,38.05768362414778,-48689200.0,1
1999-12-10,14.4037912518297,10260900.0,36.838124097957575,-0.2694494724807637,38.50239774510267,-38428300.0,1
1999-12-13,14.0849351881086,20098700.0,32.78288503880455,-0.3061913092122328,39.13591564554889,-58527000.0,1
1999-12-14,14.1912205426823,15333900.0,35.33811926238501,-0.32300968509896144,39.967186111623214,-43193100.0,1
1999-12-15,14.5610935765988,13274900.0,43.40154110630164,-0.3029999121040703,39.344758009684234,-29918200.0,0
1999-12-16,14.4548082220251,16047900.0,41.78890106652906,-0.29234835286205474,38.76678905788375,-45966100.0,0
1999-12-17,14.1359521583039,18638500.0,37.31007361113627,-0.30610732032983456,38.41867057529629,-64604600.0,1
1999-12-20,13.9914040760837,10083200.0,35.45491045266884,-0.324929636781361,38.579159916141144,-74687800.0,1
1999-12-21,13.8723644789611,12031100.0,33.95745161450968,-0.3454696003040887,38.846751620429075,-86718900.0,1
1999-12-22,14.3485228674514,11841300.0,44.12350391723053,-0.3196410438647863,37.49033682726339,-74877600.0,1
1999-12-23,14.5100766064034,7767600.0,47.09889150136127,-0.28287488464278354,35.7639110891944,-67110000.0,1
1999-12-27,14.6673789311725,7835200.0,49.89648974369525,-0.23829751023207812,34.01341151515312,-59274800.0,1
1999-12-28,14.297505897256,6334100.0,44.003807270083314,-0.2301621169152419,33.030260914159456,-65608900.0,1
1999-12-29,13.9786498335349,7325800.0,39.655924559696906,-0.24660111450612554,32.48006029237831,-72934700.0,1
1999-12-30,13.8978729640588,7615000.0,38.61499680087332,-0.2631141407876054,32.077490517972144,-80549700.0,1
1999-12-31,13.7915876094851,5635500.0,37.23022176793477,-0.28153184902783224,31.96271311776003,-86185200.0,1
2000-01-03,13.55350841524,12213800.0,34.26594571357634,-0.3117454097367034,32.29295965815856,-98399000.0,1
2000-01-04,13.0475901274691,13481000.0,28.98470950244736,-0.37222250265288004,33.57855711572518,-111880000.0,1
2000-01-05,13.2856693217142,12316500.0,34.129740473778654,-0.3963709160502411,34.219817838183964,-99563500.0,1
2000-01-06,13.7363192251068,10545800.0,42.6060152206645,-0.37482428563736825,33.66863455910528,-89017700.0,1
2000-01-07,14.6673789311725,17041900.0,55.38095483602583,-0.2793989515179103,31.439260264759366,-71975800.0,0
2000-01-10,14.6418704460748,9880200.0,55.01962657151442,-0.2034863443777759,29.464575356121884,-81856000.0,0
2000-01-11,14.6163619609771,9247700.0,54.63573992252069,-0.14372658723158693,27.630939369529937,-91103700.0,0
2000-01-12,14.9352180246983,10838000.0,58.530730827640824,-0.0698325435041749,26.19920820642457,-80265700.0,0
2000-01-13,15.7302324769097,26286400.0,66.3001072243691,0.05227741906270289,26.18686516857824,-53979300.0,0
2000-01-14,15.7302324769097,16182000.0,66.3001072243691,0.14735186359159336,26.46994188921106,-37797300.0,0
2000-01-18,15.5176617677622,10872500.0,62.659732572256104,0.20320395742335684,25.57062290531297,-48669800.0,0
2000-01-19,15.7302324769097,10053500.0,64.7444356397788,0.2616042133497718,24.735540991693313,-38616300.0,0
2000-01-20,15.4708962117498,7980400.0,60.319860033829805,0.2836903617881994,23.49303581499976,-46596700.0,0
2000-01-21,14.9054581254176,12355600.0,51.97912003625952,0.2526552135150162,21.98877722115075,-58952300.0,0
2000-01-24,14.6163619609771,13030800.0,48.30165757638212,0.20239886242237048,21.73462629787672,-71983100.0,0
2000-01-25,14.8289326701246,9396200.0,51.04429506882097,0.17767489620004184,21.326995739444033,-62586900.0,0
2000-01-26,14.8289326701246,7332800.0,51.044295068820965,0.15627948225149346,20.948481649470825,-55254100.0,0
2000-01-27,14.6673789311725,8594600.0,48.76408515345448,0.12484825303349822,20.168727559358732,-63848700.0,0
2000-01-28,14.960726509796,11228300.0,52.880145536053185,0.122200820424883,19.91196131575186,-52620400.0,0
2000-01-31,15.3858679280908,10089700.0,58.12998422600315,0.15264843428011154,18.900719228871562,-42530700.0,0
2000-02-01,15.7302324769097,11713200.0,61.838788188868826,0.2022344953627222,17.732327518223926,-30817500.0,0
2000-02-02,15.3050910586148,7141500.0,55.32341362682246,0.20486489167044297,16.647392358336834,-37959000.0,0
2000-02-03,15.1477887338457,8794000.0,53.094395966958835,0.19204276723855251,15.887559012528426,-46753000.0,0
2000-02-04,15.1988057040411,6609100.0,53.745311308185876,0.18387815150563824,15.181999477134905,-40143900.0,0
